institutionid,title,related-cdmid,related-objectid,image_small,image_thumb,identifier,sources,dates,date,date_notes,standing,standing_notes,history,name_history,use_history,additions,architect,description,latitude,longitude,location_description,cost,cost_notes,timeline-text
daycarecenter,Day Care Center,746,campus00572,https://objects.lib.uidaho.edu/campus/small/campus00572_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00572_th.jpg,155-1,"Morton, Argonaut",1975-,1975,,Standing Building,,Day Care Center; South Hill Apartment,Day Care Center; South Hill Apartment,Child care services for 30 children; family housing unit,Renovated in 1993 and turned into 2 and 3 bedroom apartments,"Designed by Mark Samuelson, UI Sophomore architecture student; constructed by Boise Cascade","2 story, wood",46.724399,-117.00734,Deakin Street (South Hill housing complex),"30,000",,"<strong>Dates:</strong> 1975-<br /><strong>Cost:</strong> $30,000<br /><strong>Architect: </strong> Designed by Mark Samuelson, UI Sophomore architecture student; constructed by Boise Cascade"
dramaannex,Drama Annex,3135,campus03110,https://objects.lib.uidaho.edu/campus/small/campus03110_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03110_th.jpg,3135,"Cards, Morton",1947-,1947,,,No Longer Standing,"Temporary Classroom Building #5, Alumni Center, Audio-Visual, Drama Annex, Theatre Arts Annex; Women's Center","Temporary Classroom Building #5, Alumni Center, Audio-Visual, Drama Annex, Theatre Arts Annex; Women's Center",Originally mailing center; in 1949 it became the Alumni Center; Audio Visual moved into it February 1951; Drama Annex or Theatre Arts Annex; Architecture Studio &amp; 2 Architecture Faculty Offices; Women's Center (2000-? ),,"Former Army hospital, moved to campus 1946-1947","One story frame, gable, composition shingles, wood siding, 25' x 50""",46.727086,-117.011237,Pine Street and University Ave.,"9,900",,"<strong>Dates:</strong> 1947-<br /><strong>Cost:</strong> $9,900<br /><strong>Architect: </strong> Former Army hospital, moved to campus 1946-1947"
educationbuilding,Education Building,618,campus00464,https://objects.lib.uidaho.edu/campus/small/campus00464_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00464_th.jpg,139-7,"Morton, UG 12 (2279), UG 13 (119), Argonaut",1967-,1967,,Standing Building,,,,Construction April 1967-Dec. 1968; occupied 1969. Education administrative offices; library; classrooms; labs; faculty and grad offices,,"Hummell, Hummell, Jones and Shawver (Boise)","Concrete foundation, Concrete &amp; brick walls, 5 floors; also a separate round lecture hall called a kiva",46.725918,-117.012378,West of Administration Building 921 Campus Dr,"$17,000,000",,"<strong>Dates:</strong> 1967-<br /><strong>Cost:</strong> $17,000,000<br /><strong>Architect: </strong> Hummell, Hummell, Jones and Shawver (Boise)"
elmwoodapartments,Elmwood Apartments,3098,campus03074,https://objects.lib.uidaho.edu/campus/small/campus03074_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03074_th.jpg,3098,Nielsen,2000-,2000,Date is approximate,Standing Building,,,,,,Unknown,"Private apartment house, purchased for graduate student housing",46.729387,-117.00862,7th Street &amp; Blake 627 Elm St,,,<strong>Dates:</strong> 2000-<br /><br /><strong>Architect: </strong> Unknown
engineeringandphysicsbuilding,Engineering and Physics Building,3099,campus03075,https://objects.lib.uidaho.edu/campus/small/campus03075_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03075_th.jpg,3099,"Register (Aug. 23, 1993), Argonaut, VF, Facilities Architecture Drawing Archives",1993-,1993,,Standing Building,,,"Physics floor named for Leonard Halland, UI alumnus and manager of physics lab 1920-1940 and contributor to UI Foundation","Ground breaking October 1993, occupation fall 1995. National Center for Advanced Transportation Technology, Engineering outreach program, Mechanical and agricultural engineering classrooms, laboratories, offices, and physics department",,NBBJ (San Fransisco),"63,000 sq. ft.",46.72924,-117.00987,"7th street, N.E. of McClure Hall 691 Ash St.","$8,100,000",,"<strong>Dates:</strong> 1993-<br /><strong>Cost:</strong> $8,100,000<br /><strong>Architect: </strong> NBBJ (San Fransisco)"
engineeringbuildingold,Engineering Building (Old),1450,campus02324,https://objects.lib.uidaho.edu/campus/small/campus02324_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02324_th.jpg,56-1,"Cards, UG 44, Argonaut",1901-1951,1901,,,Razed Summer 1951 due to unsafe conditions. Replaced by Home Economic Building,"Built in 1906, the Old Engineering Building was one of the University of Idaho's original structures. Over the years, the building has housed the Applied Science Department and the School of Mines, as well as engineering classrooms, offices, and labs. In 1951, it was razed due to unsafe conditions within the building. Because of the structure's age and service to many, now preeminent, engineering programs, pieces of the building were preserved as benches and placed at the foot of the <a href=""/digital/campus/items/campus03039.html"">Memorial Steps</a> (built from the original steps of the Old Administration Building) as benches.",Applied Science Building; School of Mines; Engineering Building,Originally Applied Science Building; then used by School of Mines; In 1906 housed engineering classrooms and labs.,,Unknown,"Brick, basement and three floors, 60' x 108', 20,982 sq. ft.",46.724873,-117.009963,South side of quadrangle,"$28,800","$28,800 (state appropriations)","<strong>Dates:</strong> 1901-1951<br /><strong>Cost:</strong> $28,800<br /><strong>Architect: </strong> Unknown"
farmhouse,Farm House,548,campus00381,https://objects.lib.uidaho.edu/campus/small/campus00381_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00381_th.jpg,126-6,"Cards, UG 12 (2281)",1955-,1955,,Standing Building,,,"Named for Permeal French, Dean of Women, 1908-1936; ca.1971 became Farm House, a men's fraternity",Women's housing; men's housing,,Hugh Richardson (Lewiston); Contractors: Hanson &amp; Parr Construction Co. of Spokane,"Wood frame with brick and transite veneer, one story lounge, kitchen and dining area and two story dormitory providing housing for 55-60 students, 12,119 sq. ft.",46.723934,-117.008775,"Southwest corner of Blake Avenue and Nez Perce, south of Ridenbaugh Hall (on the site of Center Cottage) 1101 Blake Ave","$170,842","$130,000 (bonds, to be paid by income from room rentals) Total cost $170,842","<strong>Dates:</strong> 1955-<br /><strong>Cost:</strong> $170,842<br /><strong>Architect: </strong> Hugh Richardson (Lewiston); Contractors: Hanson & Parr Construction Co. of Spokane"
fieldhouse,Field House,472,campus00217,https://objects.lib.uidaho.edu/campus/small/campus00217_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00217_th.jpg,119-1,"Cards, maps",1948-1974,1948,,,Torn down ca. Summer 1974,,,,,Unknown,"Heavy timber construction and aluminum sheeting, concrete foundation, no floor, unsupported roof, 100' x 175'",46.728231,-117.016523,SW end of McLean Field,"$70,000","$70,000 (State appropriation and student fees)","<strong>Dates:</strong> 1948-1974<br /><strong>Cost:</strong> $70,000<br /><strong>Architect: </strong> Unknown"
foodsciencebuilding,Food Science Building,1969,campus02904,https://objects.lib.uidaho.edu/campus/small/campus02904_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02904_th.jpg,92-8,"Cards, UG 44; Morton, Argonaut",1941-,1941,Occupied 1942,Standing Building,,,Dairy Science Building; Food Research Center; Food Science Building,Dairy science classrooms and labs; currently fermentation/bacteriology/ WAMI research and teaching labs; classrooms,,Tourtellotte &amp; Hummell (Boise),"Reinforced concrete basement with brick walls, 94' x 92', basement and two floors, flat roof, 14,995 sq. ft.",46.728001,-117.011553,NE corner Idaho Ave and Line Street 860 W. Idaho Ave,"$103,750","$103,750 (state appropriation)","<strong>Dates:</strong> 1941-<br /><strong>Cost:</strong> $103,750<br /><strong>Architect: </strong> Tourtellotte & Hummell (Boise)"
forestrylaboratory,Forestry Laboratory,1849,campus02772,https://objects.lib.uidaho.edu/campus/small/campus02772_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02772_th.jpg,78-2,"Cards, maps",1935-1972,1935,,,Torn down 1972,,"Forestry Laboratory, Industrial Arts Building following 1952 fire, Graduate Art Studio (GAS House), 1970-1972","Moved from S.E. corner of Sixth and Line Streets to Urquhart Street; to Line St. north of 6th (1950), to make room for Engineering Building. Combined with Pea Weevil Research Laboratory building. Later Industrial Arts, then Graduate Art Studio",,Constructed by UI Department of Buildings and Grounds,"One story wood frame and concrete, cedar lap siding, cedar shingles, gable roof, 98' x 30'",46.729516,-117.009971,Line Street,"$5,247",,"<strong>Dates:</strong> 1935-1972<br /><strong>Cost:</strong> $5,247<br /><strong>Architect: </strong> Constructed by UI Department of Buildings and Grounds"
forneyhall,Forney Hall,1566,campus02483,https://objects.lib.uidaho.edu/campus/small/campus02483_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02483_th.jpg,60-14,Cards,1923-,1923,,Standing Building,,,"Named for Mary E. Forney of Moscow, wife of first acting president of the University, James E. Forney. Forney Hall, Continuing Education Building","Women's dormitory for 120 women, currently used for offices, institutes and guest residence center",Remodeled in 1971 with University offices on ground floor and students apartments on upper floors,Unknown,"Three story reinforced concrete, mission brick, gable roof with wooden shingles. Basement and sub-basement, collegiate Gothic style, 65' x 140'",46.724313,-117.008115,Blake Ave. 1210 Blake Ave (Continuing Ed. Bldg.),"$100,000","$100,000 (Financed by U of I Building Association composed of Moscow business men and leased to U of I. Indebtedness later paid off.","<strong>Dates:</strong> 1923-<br /><strong>Cost:</strong> $100,000<br /><strong>Architect: </strong> Unknown"
gasgraduateartstudiohouse,GAS (Graduate Art Studio) House,1503,campus02369,https://objects.lib.uidaho.edu/campus/small/campus02369_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02369_th.jpg,56-45,"Cards, UG 44, Morton",1918-,1918,,Standing Building,,,Also known as Engineering Annex; Engineering Shop Building; later (ca. 1971) Graduate Art Studio (GAS House),"Engineering shop and testing, later studios for graduate art students",,Unknown,"Reinforced concrete with brick veneer, basement and two floors, 60' x 108'. Annex is wood frame siding and shingles, gable roof; 11,505 sq. ft.",46.724589,-117.010309,South of Home Economics Building 670 Nez Perce Drive,,(State appropriation),<strong>Dates:</strong> 1918-<br /><br /><strong>Architect: </strong> Unknown
gault-uphamhalls,Gault-Upham Halls,140,campus03008,https://objects.lib.uidaho.edu/campus/small/campus03008_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03008_th.jpg,95-25,"Cards, UG 12 (2282)",1954-2003,1954,,,Demolished 2003 for phase two of Living Learning Community,,"Named for Franklin B. Gault, University President, 1892-1898 and Alfred Horatio Upham, University President, 1920-1928",Men's dormitory housing up to 344 students,"Gault was extensively damaged by an arson fire October 19, 1956 and renovated in 1957","Hugh Richardson, (Lewiston); major contractor Commercial Builders (Moscow).","Three stories and basement, reinforced concrete structural frame encased in brick, flat roof. Built to replace Pine Hall. Upham is West dormitory and Gault the East. Common central kitchen, but each dorm has own dining, recreation, study rooms. 83,000 s.f",46.730171,-117.013865,"North side of west Sixth Street between Line and Rayburn, site of the West Sixth","$1,303,000","$1,303,000 (Bonds and U.S. Housing and Home finance Agency)","<strong>Dates:</strong> 1954-2003<br /><strong>Cost:</strong> $1,303,000<br /><strong>Architect: </strong> Hugh Richardson, (Lewiston); major contractor Commercial Builders (Moscow)."
gauss-johnsonengineeringbuildingandlaboratory,Gauss-Johnson Engineering Building and Laboratory,1886,campus02810,https://objects.lib.uidaho.edu/campus/small/campus02810_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02810_th.jpg,84-05a,"Morton, UGG 44, Cards",1941-,1941,Labrotory built in 1949,Standing Building,,,"Named for Henry F. Gauss, ME department head 1932-1952. Originally Kirtley Engineering Lab #1; Named for J. Hugo Johnson, EE department head, 1932-1954. Originally Kirtley Engineering Laboratory #2","Mechanical engineering teaching and research labs, classroom, faculty and grad offices",,Hugh Richardson (Lewiston),"Concrete and brick construction, tile partitions, flat and gable roof, basement and one floor with balcony, 197' x 118' 27,029 sq. ft.; Reinforced concrete, brick veneer, two floors and basement, 155' x 52' 25,025 sq. ft.",46.729399,-117.011462,Sixth and Line Streets 620 S. Line St,"$149,102","$149,102; $225,813","<strong>Dates:</strong> 1941-<br /><strong>Cost:</strong> $149,102<br /><strong>Architect: </strong> Hugh Richardson (Lewiston)"
geologybuilding,Geology Building,1914,campus02847,https://objects.lib.uidaho.edu/campus/small/campus02847_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02847_th.jpg,86-2,"Cards, UG 44, Morton, UG 12 (2315)",1906-1984,1906,,,Demolished summer of 1984 to allow for construction of Life Sciences North,,,"Originally used as an assay building, became instructional building for geology, and between 1955 and 1984 was university museum and art gallery",,Unknown,"One story, floor area 108' x 36', 5928 sq. ft., reinforced concrete frame, brick facing with rubble foundations, steel roof trusses and wooden roof. Floor plan resembles an 'I'",46.727777,-117.01087,S.E. corner Idaho Avenue and Pine Street,"$17,700","$17,700 (State appropriation)","<strong>Dates:</strong> 1906-1984<br /><strong>Cost:</strong> $17,700<br /><strong>Architect: </strong> Unknown"
gibbhalllifesciencesnorth,Gibb Hall (Life Sciences North),656,campus00416,https://objects.lib.uidaho.edu/campus/small/campus00416_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00416_th.jpg,132-6,"Morton, Argonaut, VF",1984-,1984,Occupied 1986,Standing Building,,,"Named for Richard D. Gibb, President of the University from 1977-1989, in November 1993","Bacteriology/Biochemistry/Biology/ UI Research, teaching and research labs",,Team 7 Consortium (Coeur d'Alene),"Four story brick and stone construction, 56,000 sq. ft.",46.727692,-117.010443,"Idaho Ave, between Pine and Ash streets 820 Pine St","$10,000,000",$10 million,"<strong>Dates:</strong> 1984-<br /><strong>Cost:</strong> $10,000,000<br /><strong>Architect: </strong> Team 7 Consortium (Coeur d'Alene)"
